Site	N	S	NmaxObs	NmaxPred_geom	evennessObs	evennessPred_geom	skewnessObs	skewnessPred_geom	ll_geom	r2_geom	site_name	NmaxPred_mete	evennessPred_mete	skewnessPred_mete	p_mete	ll_mete	r2_mete	NmaxPred_lognorm	evennessPred_lognorm	skewnessPred_lognorm	mu_lognorm	sigma_lognorm	ll_lognorm	r2_lognorm	NmaxPred_zipf	evennessPred_zipf	skewnessPred_zipf	gamma_zif	ll_zipf	r2_zipf
65	1272	15	445	287.0	0.222	0.5409	0.405541593082	0.359814513046	-81.51563582920001	-0.1470895918	'700015977.may1'	562	0.2299	0.538876824715	0.998396726173	-59.465145096899995	0.7443006103640001	1721	0.0891	0.645454419084	-13.0645699546	6.72501052521	-58.2875887807	0.908778553072	2703	0.0811	0.648324747034	1.40278205609	-58.4433661487	0.888872705757
66	7299	43	6217	754.0	0.0315	0.5185	0.856188924444	0.415119006059	-263.64766752599996	-3.24756758771	'700095514.may1'	1967	0.1699	0.654758643321	0.9991725354009999	-139.176584053	-0.7737418260009999	1098	0.0448	0.847284596067	-22.506017621799998	6.9946449700399995	-114.28566555299999	0.9059925967550001	785	0.0478	0.846610599385	1.61942412575	-113.71924393399999	0.8989600119660001
67	3560	121	2387	159.0	0.0182	0.5167	1.06867897734	0.444799344377	-528.108736998	-0.41837859915200004	'700037050.may1'	390	0.2134	0.6713026616940001	0.99324469642	-400.970705034	0.525486928019	218	0.1714	0.8271779313050001	0.727927783759	1.69639888005	-371.827924219	0.9258701397679999	34369	0.0124	1.06609475359	1.49994202657	-389.432218746	0.569370331586
69	2941	30	1942	400.0	0.0724	0.5252	0.765353410732	0.400045231581	-167.40569459399998	-0.704593427339	'700032034.may1'	922	0.1937	0.615573062475	0.998439624963	-110.602565935	0.5490026811050001	3534	0.0483	0.784747435273	-21.858700886399998	7.81528611832	-103.604119427	0.96406182933	4188	0.0453	0.787252651601	1.4612176246200002	-103.76524492799999	0.958423614304
70	8213	38	6062	934.0	0.0465	0.5197	0.820718466873	0.41045203421899995	-242.19567528599998	-1.66526544508	'700033191.may1'	2429	0.1672	0.649429940172	0.999377230658	-140.175044868	0.149336779451	5410	0.0373	0.833268626678	-38.634393225	9.91235664625	-124.863126326	0.9663343325020001	4235	0.038	0.833280873914	1.4873488239800001	-125.13301463100001	0.9510002164139999
71	3887	68	1618	279.0	0.0565	0.5152	0.814564744264	0.431297063209	-342.521892956	-0.61292476525	'700097895.may1'	698	0.1935	0.661128788726	0.996997075265	-235.35768869	0.5576405277040001	2099	0.0404	0.9176824031949999	-4.49344846946	4.02915903119	-220.79413399400002	0.987132251146	12298	0.0216	0.949855872137	1.49363976652	-221.348916632	0.963665400026
72	4589	27	3489	676.0	0.0624	0.5261	0.7576445441490001	0.394742329736	-165.5810895	-0.7578216147669999	'700108405.may1'	1603	0.1825	0.615340046818	0.999194638412	-111.496849578	0.657378675431	3871	0.057999999999999996	0.759756279979	-6.497977810580001	5.26735960411	-106.943358751	0.9843468922059999	14640	0.0444	0.7688559459100001	1.39361348514	-107.320789375	0.9628966266750001
75	7773	58	7531	635.0	0.0184	0.5149	0.9251523144120001	0.42571218784000003	-341.865240304	-5.126021150980001	'700107435.may1'	1708	0.1699	0.670770914343	0.998907162956	-174.01577922400003	-1.7822040157700003	408	0.0569	0.8813274493250001	-10.101916124	4.5341539937099995	-134.50857006	0.8772511371780001	461	0.0492	0.894205074341	1.71468434361	-133.839313329	0.8878670586730001
76	537	62	152	40.0	0.1384	0.5437	0.808711011549	0.429834855392	-192.124112962	0.6927867257279999	'700038257.may1'	73	0.3077	0.598622993743	0.967365287244	-173.95732359	0.9058843533040001	80	0.2632	0.7077316166069999	0.556170318274	1.5073672802200002	-169.736347042	0.9589442632690001	3042	0.0285	0.925503477536	1.5638173736	-178.913426867	0.593579119346
77	1797	70	1249	125.0	0.0291	0.5209	0.9552923954829999	0.43144482827200004	-295.795065647	-0.534891984184	'700098928.may1'	281	0.2271	0.641121555387	0.991995952326	-210.642112208	0.480123173936	305	0.0934	0.8587828849420001	-1.53538862646	2.5931608435699998	-193.491657713	0.967498254436	2775	0.0269	0.9478236178530001	1.5843858170200003	-195.435242237	0.918790314721
78	5486	15	4539	1243.0	0.0955	0.539	0.640984943777	0.36085748847300003	-103.508037101	-0.826881302114	'700024607.may1'	2695	0.1964	0.554845497812	0.9997508463760001	-65.7165740004	0.571982856848	4790	0.0779	0.649012557098	-62.437144227	13.7716847453	-62.44249397350001	0.926928233249	5706	0.0772	0.6492486427499999	1.3699347823899999	-62.9179018135	0.925457873151
84	5508	84	2939	334.0	0.0361	0.5139	0.929808185571	0.43667270473	-434.739961083	-1.03925608996	'700114767.may1'	876	0.1853	0.67630059032	0.997453233764	-279.76957441900004	0.357303728693	4307	0.0255	0.9761563939200001	-12.415283300899999	5.676942959530001	-253.66172209799998	0.9924634600650001	8338	0.0195	0.989173304175	1.5359823475299998	-253.865607505	0.988740393217
85	1107	15	713	250.0	0.1448	0.5416	0.601433470639	0.360991606012	-79.4182886657	-0.026416836115799997	'700035625.may1'	483	0.2345	0.537191145323	0.998085285502	-60.8743044259	0.835368282652	735	0.1205	0.631311800897	-1.2128162459799998	3.5713543083999997	-60.2813716422	0.973337005564	4044	0.0787	0.648884535538	1.38438314222	-60.867237773	0.912687718779
88	777	58	93	62.0	0.3318	0.5332	0.499047215903	0.427705064657	-206.289141423	0.728764352553	'700033035.may1'	122	0.2716	0.610574440509	0.9816790595649999	-190.81091495799998	0.9815519159280001	294	0.1402	0.785093773258	0.6219983510930001	2.0128661233300003	-193.372657202	0.95588925499	16498	0.0236	0.919696169648	1.4638518068000002	-199.596925801	0.50969410969
91	6210	34	4594	769.0	0.0523	0.5216	0.804125439699	0.40556183831	-210.963646095	-0.817410916974	'700105914.may1'	1926	0.1739	0.637454328465	0.999245948083	-140.440525142	0.642010664376	6187	0.0464	0.8059616958370001	-7.3356351138399996	5.48085008354	-134.287494591	0.988182912037	25244	0.0354	0.815307285231	1.39512216109	-134.69510464200002	0.9669458913060001
94	6805	23	6400	1131.0	0.0491	0.5283	0.7377302526109999	0.386658212981	-153.829217735	-2.1044733660499997	'700024078.may1'	2698	0.1769	0.606603647171	0.99959362308	-86.6801320356	0.0140874557871	1895	0.0606	0.7325828172930001	-39.5145532858	9.99134268814	-76.7211755511	0.9650169385359999	1772	0.061	0.732663302316	1.47762965993	-77.1079145203	0.966858211983
95	143	33	63	16.0	0.1372	0.5959	0.763866111589	0.39379174364299996	-77.2491923616	0.400172609119	'700108586.may1'	24	0.4191	0.531923028649	0.914041884243	-63.2180612642	0.6986498167	42	0.196	0.730959041365	-5.5010910572	2.98502469421	-57.8199709707	0.9768669149439999	53	0.1599	0.7541864330399999	1.9382690845200001	-57.8471352396	0.981360716013
96	3960	23	3838	658.0	0.0463	0.5285	0.738486336487	0.387106005544	-141.34869441	-2.81124457749	'700023670.may1'	1505	0.1885	0.599296507116	0.999226482447	-79.36496236890001	-0.48908500755199996	412	0.0906	0.715249388768	-6.56722919457	4.39009240388	-68.84789103359999	0.8833387980290001	671	0.0714	0.728227104255	1.5439252633000002	-68.5831060492	0.912884901918
100	2422	86	660	143.0	0.0934	0.5188	0.8053781073819999	0.436434625921	-371.522903261	0.20867630005600002	'700101932.may1'	334	0.2197	0.654045950003	0.992868000935	-295.642562622	0.878008192536	1274	0.0553	0.924384806056	-1.10520732471	2.9395989054799996	-290.25285309599997	0.9819306062180001	35119	0.0161	0.998968578449	1.46781445391	-293.711981277	0.840664723861
101	1316	68	377	93.0	0.1241	0.5239	0.8085441443379999	0.42912919427	-267.685514225	0.588788868144	'700035775.may1'	199	0.2449	0.630276524899	0.988578026097	-237.95552350900002	0.9264529811900001	241	0.1818	0.7633214517039999	1.19243134531	1.70543709087	-233.567823912	0.975439663056	43324	0.0191	0.953137283666	1.43801838666	-246.166583246	0.45372252139700003
